code,name,kind,amount,effective from,unit,used in packs,specialties,max qty per pack,priced already
SCALPEL-BLADE-NO-10,Scalpel blade No. 10,CONSUMABLE,,2026-08-13,piece,11,Cardiothoracic Surgery; General Surgery; Obstetrics & Gynaecology; Orthopaedics; Urology,2,no
PARACETAMOL-IV-1-G,Paracetamol (IV) (1 g),DRUG,,2026-08-13,vial,9,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General (anaesthesia); General Surgery; Maxillofacial Surgery; Obstetrics & Gynaecology; Orthopaedics; Plastic Surgery; Urology,1,no
DICLOFENAC-75-MG,Diclofenac (75 mg),DRUG,,2026-08-13,ampoule,8,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Obstetrics & Gynaecology; Orthopaedics; Plastic Surgery; Urology,1,no
NYLON-SUTURE-SKIN,Nylon suture (skin),CONSUMABLE,,2026-08-13,piece,8,ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Orthopaedics; Urology,2,no
SPO2-PULSE-OXIMETER-SENSOR,SpO2 (pulse oximeter) sensor,CONSUMABLE,,2026-08-13,piece,7,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); Local (anaesthesia); Regional (anaesthesia); Sedation (anaesthesia); Spinal (anaesthesia),1,no
STERILE-LUBRICATING-JELLY,Sterile lubricating jelly,CONSUMABLE,,2026-08-13,sachet,7,General Surgery; Neurosurgery; Obstetrics & Gynaecology; Urology,1,no
URINE-DRAINAGE-BAG,Urine drainage bag,CONSUMABLE,,2026-08-13,piece,7,General Surgery; Neurosurgery; Obstetrics & Gynaecology; Urology,1,no
ASSORTED-SYRINGES-2-5-10-20-ML,Assorted syringes (2/5/10/20 ml),CONSUMABLE,,2026-08-13,piece,6,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); Regional (anaesthesia); Sedation (anaesthesia); Spinal (anaesthesia),6,no
BIPOLAR-DIATHERMY-LEAD,Bipolar diathermy + lead,CONSUMABLE,,2026-08-13,piece,6,Maxillofacial Surgery; Paediatric Surgery; Plastic Surgery,1,no
ECG-ELECTRODES,ECG electrodes,CONSUMABLE,,2026-08-13,piece,6,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); Regional (anaesthesia); Sedation (anaesthesia); Spinal (anaesthesia),5,no
FOLEY-CATHETER,Foley catheter,CONSUMABLE,,2026-08-13,piece,6,General Surgery; Neurosurgery; Obstetrics & Gynaecology; Urology,1,no
HYPODERMIC-DRAWING-UP-NEEDLES,Hypodermic/drawing-up needles,CONSUMABLE,,2026-08-13,piece,6,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); Regional (anaesthesia); Sedation (anaesthesia); Spinal (anaesthesia),6,no
IV-CANNULA,IV cannula,CONSUMABLE,,2026-08-13,piece,6,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); Regional (anaesthesia); Sedation (anaesthesia); Spinal (anaesthesia),2,no
IV-GIVING-SET,IV giving set,CONSUMABLE,,2026-08-13,piece,6,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); Regional (anaesthesia); Sedation (anaesthesia); Spinal (anaesthesia),1,no
NIBP-CUFF-APPROPRIATE-SIZE,NIBP cuff (appropriate size),CONSUMABLE,,2026-08-13,piece,6,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); Regional (anaesthesia); Sedation (anaesthesia); Spinal (anaesthesia),1,no
CLOSED-SUCTION-DRAIN,Closed-suction drain,CONSUMABLE,,2026-08-13,piece,5,Maxillofacial Surgery; Neurosurgery; Orthopaedics,2,no
DEXTROSE-5-500-ML,Dextrose 5% (500 ml),DRUG,,2026-08-13,litre,5,Cardiothoracic Surgery; Neurosurgery; Obstetrics & Gynaecology; Orthopaedics,1,no
TRANEXAMIC-ACID-1-G,Tranexamic acid (1 g),DRUG,,2026-08-13,ampoule,5,Cardiothoracic Surgery; Neurosurgery; Obstetric (anaesthesia); Obstetrics & Gynaecology; Orthopaedics,1,no
BONE-WAX,Bone wax,CONSUMABLE,,2026-08-13,piece,4,Cardiothoracic Surgery; Maxillofacial Surgery; Neurosurgery; Orthopaedics,2,no
CEFAZOLIN-OR-CEFTRIAXONE-1-G-2-G,Cefazolin (or Ceftriaxone 1 g) (2 g),DRUG,,2026-08-13,vial,4,Obstetrics & Gynaecology; Orthopaedics; Plastic Surgery,2,no
NYLON-SUTURE,Nylon suture,CONSUMABLE,,2026-08-13,piece,4,General Surgery; Ophthalmology; Plastic Surgery,3,no
ATROPINE-0-6-MG,Atropine (0.6 mg),DRUG,,2026-08-13,ampoule,3,Adjunct (anaesthesia); General (anaesthesia); Spinal (anaesthesia),2,no
BIPOLAR-DIATHERMY-FORCEPS-LEAD,Bipolar diathermy forceps + lead,CONSUMABLE,,2026-08-13,piece,3,ENT (Otorhinolaryngology); Neurosurgery,1,no
BIPOLAR-FORCEPS-LEAD,Bipolar forceps + lead,CONSUMABLE,,2026-08-13,piece,3,Neurosurgery,1,no
CHLORHEXIDINE-0-5-IN-ALCOHOL-SKIN-PREP,Chlorhexidine 0.5% in alcohol skin prep,CONSUMABLE,,2026-08-13,applicator,3,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); Spinal (anaesthesia),1,no
MONOCRYL-SUTURE-SUBCUTICULAR,Monocryl suture (subcuticular),CONSUMABLE,,2026-08-13,piece,3,General Surgery; Paediatric Surgery,2,no
NASOGASTRIC-TUBE,Nasogastric tube,CONSUMABLE,,2026-08-13,piece,3,General (anaesthesia); General Surgery,1,no
PROLENE-SUTURE-VASCULAR,Prolene suture (vascular),CONSUMABLE,,2026-08-13,piece,3,Cardiothoracic Surgery; Urology,2,no
REDIVAC-CLOSED-SUCTION-DRAIN,Redivac/closed suction drain,CONSUMABLE,,2026-08-13,piece,3,General Surgery,2,no
STERILE-GLOVES,Sterile gloves,CONSUMABLE,,2026-08-13,pair,3,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); Spinal (anaesthesia),1,no
STERILE-NEURAXIAL-DRAPE-PACK,Sterile neuraxial drape + pack,CONSUMABLE,,2026-08-13,pack,3,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); Spinal (anaesthesia),1,no
VICRYL-POLYGLACTIN-SUTURE,Vicryl (polyglactin) suture,CONSUMABLE,,2026-08-13,piece,3,General Surgery; Obstetrics & Gynaecology,4,no
3-WAY-FOLEY-CATHETER,3-way Foley catheter,CONSUMABLE,,2026-08-13,piece,2,Urology,1,no
BALANCED-SALT-SOLUTION-BSS,Balanced Salt Solution (BSS),CONSUMABLE,,2026-08-13,bottle,2,Ophthalmology,1,no
CEFTRIAXONE-1-G,Ceftriaxone (1 g),DRUG,,2026-08-13,vial,2,General Surgery; Urology,1,no
CO-AMOXICLAV-AUGMENTIN-1-2-G,Co-amoxiclav (Augmentin) (1.2 g),DRUG,,2026-08-13,vial,2,ENT (Otorhinolaryngology); Maxillofacial Surgery,1,no
CORRUGATED-CLOSED-DRAIN,Corrugated/closed drain,CONSUMABLE,,2026-08-13,piece,2,Maxillofacial Surgery; Orthopaedics,1,no
DEXAMETHASONE-8-MG,Dexamethasone (8 mg),DRUG,,2026-08-13,ampoule,2,ENT (Otorhinolaryngology); Neurosurgery,2,no
EPHEDRINE-3-6-MG,Ephedrine (3–6 mg),DRUG,,2026-08-13,ampoule,2,Adjunct (anaesthesia); General (anaesthesia),2,no
EPIDURAL-INFUSION-PUMP-SET,Epidural infusion pump set,CONSUMABLE,,2026-08-13,set,2,Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia),1,no
FINE-SUCTION-CATHETERS,Fine suction catheters,CONSUMABLE,,2026-08-13,piece,2,ENT (Otorhinolaryngology),3,no
METRONIDAZOLE-IV-INFUSION-500-MG,Metronidazole (IV infusion) (500 mg),DRUG,,2026-08-13,bag,2,General Surgery; Obstetrics & Gynaecology,1,no
MONOCRYL-SUTURE,Monocryl suture,CONSUMABLE,,2026-08-13,piece,2,Plastic Surgery,3,no
NEUROSURGICAL-PATTIES-COTTONOIDS,Neurosurgical patties/cottonoids,CONSUMABLE,,2026-08-13,pack,2,Neurosurgery,1,no
NEUROSURGICAL-PATTIES-COTTONOIDS-ASSORTED,Neurosurgical patties/cottonoids (assorted),CONSUMABLE,,2026-08-13,pack,2,Neurosurgery,2,no
NYLON-STAPLES-SKIN,Nylon/staples (skin),CONSUMABLE,,2026-08-13,piece,2,Neurosurgery; Orthopaedics,2,no
PARACETAMOL-IV-PR-15-MG-KG,Paracetamol (IV/PR) (15 mg/kg),DRUG,,2026-08-13,vial,2,Paediatric (anaesthesia); Paediatric Surgery,1,no
PARAFFIN-TULLE-GRAS-NON-ADHERENT-GAUZE,Paraffin/tulle gras (non-adherent) gauze,CONSUMABLE,,2026-08-13,piece,2,Plastic Surgery,3,no
PROLENE-SUTURE,Prolene suture,CONSUMABLE,,2026-08-13,piece,2,Cardiothoracic Surgery,2,no
SUXAMETHONIUM-1-1-5-MG-KG,Suxamethonium (1–1.5 mg/kg),DRUG,,2026-08-13,ampoule,2,Adjunct (anaesthesia); General (anaesthesia),1,no
UNDERWATER-SEAL-DRAINAGE-SYSTEM,Underwater-seal drainage system,CONSUMABLE,,2026-08-13,set,2,Cardiothoracic Surgery,1,no
VICRYL-SUTURE-BOWEL,Vicryl suture (bowel),CONSUMABLE,,2026-08-13,piece,2,General Surgery; Paediatric Surgery,4,no
VICRYL-SUTURE-DEEP,Vicryl suture (deep),CONSUMABLE,,2026-08-13,piece,2,Orthopaedics; Plastic Surgery,3,no
VICRYL-SUTURE-MUCOSA,Vicryl suture (mucosa),CONSUMABLE,,2026-08-13,piece,2,Maxillofacial Surgery,3,no
5-FLUOROURACIL-ALTERNATIVE-50-MG-ML,5-Fluorouracil (alternative) (50 mg/ml),DRUG,,2026-08-13,vial,1,Ophthalmology,1,no
50-DEXTROSE-HYPOGLYCAEMIA-RESCUE,50% Dextrose (hypoglycaemia rescue),DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),1,no
ABSORBABLE-HAEMOSTAT-SURGICEL,Absorbable haemostat (Surgicel),CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,2,no
ABSORBABLE-HAEMOSTAT-SURGICEL-GELFOAM,Absorbable haemostat (Surgicel/Gelfoam),CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,2,no
ABSORBABLE-HAEMOSTAT-SURGICEL-GELFOAM,Absorbable haemostat (Surgicel/Gelfoam),DRUG,,2026-08-13,piece,1,Neurosurgery,2,no
ADENOID-CURETTE,Adenoid curette,CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),1,no
ADRENALINE-EPINEPHRINE-1-1000-1-10-000-10-MCG-KG-ANAPHYLAXIS-ARREST,"Adrenaline (Epinephrine) 1:1000 / 1:10,000 (10 mcg/kg (anaphylaxis/arrest))",DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),2,no
ADRENALINE-1-1000-TOPICAL-SOAKS,Adrenaline 1:1000 (topical soaks),DRUG,,2026-08-13,ampoule,1,ENT (Otorhinolaryngology),1,no
AMIODARONE-300-MG,Amiodarone (300 mg),DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),1,no
AMPUTATION-SAW-GIGLI-OSCILLATING-BLADE,Amputation saw (Gigli/oscillating) blade,CONSUMABLE,,2026-08-13,piece,1,Orthopaedics,1,no
ARTERIAL-LINE-CANNULA-TRANSDUCER-SET,Arterial line cannula + transducer set,CONSUMABLE,,2026-08-13,set,1,Adjunct (anaesthesia),1,no
ATRACURIUM-0-5-MG-KG,Atracurium (0.5 mg/kg),DRUG,,2026-08-13,ampoule,1,Paediatric (anaesthesia),1,no
ATROPINE-20-MCG-KG-MIN-100-MCG,Atropine (20 mcg/kg (min 100 mcg)),DRUG,,2026-08-13,ampoule,1,Paediatric (anaesthesia),1,no
BALANCED-SALT-SOLUTION-BSS-FOR-IRRIGATION-500-ML,Balanced Salt Solution (BSS) for irrigation (500 ml),DRUG,,2026-08-13,bottle,1,Ophthalmology,1,no
BEVACIZUMAB-AVASTIN-ANTI-VEGF-1-25-MG-0-05-ML,Bevacizumab (Avastin) — anti-VEGF (1.25 mg/0.05 ml),DRUG,,2026-08-13,vial,1,Ophthalmology,1,no
BIOPSY-FORCEPS-CUP,Biopsy forceps (cup),CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),1,no
BIOPSY-GUN-REUSABLE-DISPOSABLE,Biopsy gun (reusable/disposable),CONSUMABLE,,2026-08-13,piece,1,Urology,1,no
BIOPSY-NEEDLE-18G-SPRING-LOADED,"Biopsy needle (18G, spring-loaded)",CONSUMABLE,,2026-08-13,piece,1,Urology,1,no
BLADDER-IRRIGATION-SET,Bladder irrigation set,CONSUMABLE,,2026-08-13,piece,1,Urology,1,no
BLADDER-IRRIGATION-SET-DRAINAGE-BAG,Bladder irrigation set + drainage bag,CONSUMABLE,,2026-08-13,set,1,Urology,1,no
BLOCK-PACK-DRAPE-GAUZE-GALLIPOT,"Block pack (drape, gauze, gallipot)",CONSUMABLE,,2026-08-13,pack,1,Regional (anaesthesia),1,no
BONE-FILE-RASP,Bone file/rasp,CONSUMABLE,,2026-08-13,piece,1,Orthopaedics,1,no
BONE-FLAP-FIXATION-CLAMPS,Bone flap fixation clamps,CONSUMABLE,,2026-08-13,set,1,Neurosurgery,1,no
BONE-FLAP-FIXATION-SYSTEM,Bone flap fixation system,CONSUMABLE,,2026-08-13,set,1,Neurosurgery,1,no
BONE-PLATE-DCP-LOCKING-SIZE-PER-TEMPLATING,Bone plate (DCP/locking) — size per templating,CONSUMABLE,,2026-08-13,piece,1,Orthopaedics,1,no
BONE-WAX,Bone wax,DRUG,,2026-08-13,piece,1,Neurosurgery,2,no
BOUGIE-INTUBATING-STYLET,Bougie / intubating stylet,CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),1,no
BOUGIE-AIRWAY-EXCHANGE-CATHETER,Bougie + airway exchange catheter,CONSUMABLE,,2026-08-13,set,1,Adjunct (anaesthesia),1,no
BOYLE-DAVIS-MOUTH-GAG-BLADES,Boyle-Davis mouth gag + blades,CONSUMABLE,,2026-08-13,set,1,ENT (Otorhinolaryngology),1,no
BUPIVACAINE-0-1-0-25-EPIDURAL,Bupivacaine 0.1–0.25% (epidural),DRUG,,2026-08-13,vial,1,Combined Spinal-Epidural (anaesthesia),2,no
BUPIVACAINE-0-25-CAUDAL-WOUND-MAX-2-MG-KG,Bupivacaine 0.25% (caudal/wound) (max 2 mg/kg),DRUG,,2026-08-13,vial,1,Paediatric Surgery,1,no
BUPIVACAINE-0-25-0-5-MAX-2-MG-KG,Bupivacaine 0.25% / 0.5% (max 2 mg/kg),DRUG,,2026-08-13,vial,1,Local (anaesthesia),1,no
BUPIVACAINE-0-25-0-5-TITRATED-TO-LEVEL,Bupivacaine 0.25% / 0.5% (titrated to level),DRUG,,2026-08-13,vial,1,Epidural (anaesthesia),2,no
BUPIVACAINE-0-5-INTERCOSTAL-PARAVERTEBRAL-MAX-2-MG-KG,Bupivacaine 0.5% (intercostal/paravertebral) (max 2 mg/kg),DRUG,,2026-08-13,vial,1,Cardiothoracic Surgery,1,no
BUPIVACAINE-0-5-MAX-2-MG-KG,Bupivacaine 0.5% (max 2 mg/kg),DRUG,,2026-08-13,vial,1,Plastic Surgery,1,no
CALCIUM-GLUCONATE-10,Calcium gluconate 10%,DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),1,no
CAPNOGRAPHY-SAMPLING-LINE,Capnography sampling line,CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),1,no
CAPNOGRAPHY-SAMPLING-LINE-NASAL,Capnography sampling line (nasal),CONSUMABLE,,2026-08-13,piece,1,Sedation (anaesthesia),1,no
CARBETOCIN-ALT-UTEROTONIC-100-MCG,Carbetocin (alt uterotonic) (100 mcg),DRUG,,2026-08-13,ampoule,1,Obstetric (anaesthesia),1,no
CARBOPROST-HAEMABATE-250-MCG,Carboprost (Haemabate) (250 mcg),DRUG,,2026-08-13,ampoule,1,Obstetrics & Gynaecology,1,no
CATHETER-FIXATION-DRESSING,Catheter fixation dressing,CONSUMABLE,,2026-08-13,piece,1,Epidural (anaesthesia),1,no
CATHETER-MOUNT,Catheter mount,CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),1,no
CEFTRIAXONE-2-G,Ceftriaxone (2 g),DRUG,,2026-08-13,vial,1,Neurosurgery,2,no
CEFUROXIME-50-MG-KG,Cefuroxime (50 mg/kg),DRUG,,2026-08-13,vial,1,Paediatric Surgery,1,no
CEFUROXIME-OR-CEFAZOLIN-2-G-1-5-G,Cefuroxime (or Cefazolin 2 g) (1.5 g),DRUG,,2026-08-13,vial,1,Cardiothoracic Surgery,2,no
CELLULOSE-SPONGES-WECK-CEL,Cellulose sponges (weck-cel),CONSUMABLE,,2026-08-13,pack,1,Ophthalmology,1,no
CENTRAL-LINE-DRESSING-FIXATION,Central line dressing + fixation,CONSUMABLE,,2026-08-13,set,1,Adjunct (anaesthesia),1,no
CENTRAL-VENOUS-CATHETER-KIT-MULTI-LUMEN,Central venous catheter kit (multi-lumen),CONSUMABLE,,2026-08-13,kit,1,Adjunct (anaesthesia),1,no
CERCLAGE-WIRE,Cerclage wire,CONSUMABLE,,2026-08-13,roll,1,Orthopaedics,1,no
CHEST-DRAIN-INTERCOSTAL,Chest drain (intercostal),CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,1,no
CHEST-DRAINS,Chest drains,CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,2,no
CHLORPHENAMINE-10-MG,Chlorphenamine (10 mg),DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),1,no
CIPROFLOXACIN-FOR-PROSTATE-BIOPSY-500-MG,Ciprofloxacin (for prostate biopsy) (500 mg),DRUG,,2026-08-13,tablet,1,Urology,1,no
COMPRESSION-BANDAGE-LIMB,Compression bandage (limb),CONSUMABLE,,2026-08-13,set,1,Cardiothoracic Surgery,1,no
COMPRESSIVE-PENILE-DRESSING,Compressive penile dressing,CONSUMABLE,,2026-08-13,set,1,Paediatric Surgery,1,no
CORTICAL-CANCELLOUS-LOCKING-SCREWS-ASSORTED,Cortical/cancellous/locking screws (assorted),CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
CRANIAL-FIXATION-PLATE-SCREW-SET,Cranial fixation plate & screw set,CONSUMABLE,,2026-08-13,set,1,Neurosurgery,1,no
CRANIAL-FIXATION-PLATES-SCREWS-BURR-HOLE-COVERS,Cranial fixation plates/screws (burr-hole covers),CONSUMABLE,,2026-08-13,set,1,Neurosurgery,1,no
CRESCENT-BLADE,Crescent blade,CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
CSE-KIT-TUOHY-SPINAL-NEEDLE-THROUGH-NEEDLE-CATHETER-FILTER,CSE kit (Tuohy + spinal needle-through-needle + catheter + filter),CONSUMABLE,,2026-08-13,kit,1,Combined Spinal-Epidural (anaesthesia),1,no
DEXAMETHASONE-4-8-MG,Dexamethasone (4–8 mg),DRUG,,2026-08-13,ampoule,1,General (anaesthesia),1,no
DEXAMETHASONE-FACIAL-SWELLING-8-MG,Dexamethasone (facial swelling) (8 mg),DRUG,,2026-08-13,ampoule,1,Maxillofacial Surgery,1,no
DEXAMETHASONE-PERINEURAL-ADJUNCT-4-MG,Dexamethasone (perineural adjunct) (4 mg),DRUG,,2026-08-13,ampoule,1,Regional (anaesthesia),1,no
DEXAMETHASONE-ANTIBIOTIC-OINTMENT,Dexamethasone + antibiotic ointment,DRUG,,2026-08-13,tube,1,Ophthalmology,1,no
DEXAMETHASONE-ONDANSETRON,Dexamethasone + Ondansetron,DRUG,,2026-08-13,set,1,Paediatric (anaesthesia),1,no
DEXMEDETOMIDINE-OPTIONAL,Dexmedetomidine (optional),DRUG,,2026-08-13,vial,1,Sedation (anaesthesia),1,no
DEXTROSE-5-10,Dextrose 5% / 10%,DRUG,,2026-08-13,bag,1,Adjunct (anaesthesia),1,no
DONOR-SITE-DRESSING-ALGINATE-FOAM,Donor-site dressing (alginate/foam),CONSUMABLE,,2026-08-13,set,1,Plastic Surgery,1,no
DRILL-BITS-GUIDE,Drill bits + guide,CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
DRILL-BITS-IRRIGATION,Drill bits + irrigation,CONSUMABLE,,2026-08-13,set,1,Maxillofacial Surgery,1,no
DURAL-SUBSTITUTE-GRAFT,Dural substitute (graft),CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,1,no
DURAL-SUTURE-NUROLON-SILK,Dural suture (Nurolon/Silk),CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,2,no
ECHOGENIC-INSULATED-BLOCK-NEEDLE,Echogenic/insulated block needle,CONSUMABLE,,2026-08-13,piece,1,Regional (anaesthesia),1,no
ENDOTRACHEAL-TUBE-CUFFED,Endotracheal tube (cuffed),CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),2,no
EPIDURAL-KIT-TUOHY-NEEDLE-CATHETER-FILTER-LOR-SYRINGE,Epidural kit (Tuohy needle + catheter + filter + LOR syringe),CONSUMABLE,,2026-08-13,kit,1,Epidural (anaesthesia),1,no
ERGOMETRINE-0-5-MG,Ergometrine (0.5 mg),DRUG,,2026-08-13,ampoule,1,Obstetrics & Gynaecology,1,no
EYE-PAD-PROTECTIVE-SHIELD,Eye pad + protective shield,CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
EYE-PAD-SHIELD,Eye pad + shield,CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
EYE-SPECULUM-WIRE-ADJUSTABLE,Eye speculum (wire/adjustable),CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
FACE-MASK-ANAESTHETIC-SIZED,"Face mask (anaesthetic, sized)",CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),1,no
FENTANYL-0-5-1-MCG-KG,Fentanyl (0.5–1 mcg/kg),DRUG,,2026-08-13,ampoule,1,Sedation (anaesthesia),1,no
FENTANYL-1-MCG-KG,Fentanyl (1 mcg/kg),DRUG,,2026-08-13,ampoule,1,Paediatric (anaesthesia),1,no
FENTANYL-1-2-MCG-KG,Fentanyl (1–2 mcg/kg),DRUG,,2026-08-13,ampoule,1,General (anaesthesia),2,no
FENTANYL-10-25-MCG-IT-50-100-MCG-EPIDURAL,Fentanyl (10–25 mcg IT / 50–100 mcg epidural),DRUG,,2026-08-13,ampoule,1,Combined Spinal-Epidural (anaesthesia),1,no
FENTANYL-EPIDURAL-ADJUNCT-50-100-MCG,Fentanyl (epidural adjunct) (50–100 mcg),DRUG,,2026-08-13,ampoule,1,Epidural (anaesthesia),1,no
FENTANYL-INTRATHECAL-ADJUNCT-10-25-MCG,Fentanyl (intrathecal adjunct) (10–25 mcg),DRUG,,2026-08-13,ampoule,1,Spinal (anaesthesia),1,no
FENTANYL-PRESERVATIVE-FREE-MORPHINE-15-MCG-100-MCG,Fentanyl + Preservative-free Morphine (15 mcg + 100 mcg),DRUG,,2026-08-13,ampoule,1,Obstetric (anaesthesia),1,no
FIBREOPTIC-SCOPE-DRAPE-ADJUNCTS,Fibreoptic scope drape/adjuncts,CONSUMABLE,,2026-08-13,set,1,Adjunct (anaesthesia),1,no
FINE-ABSORBABLE-SUTURE,Fine absorbable suture,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,2,no
FINE-ABSORBABLE-SUTURE-PDS-VICRYL,Fine absorbable suture (PDS/Vicryl),CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,3,no
FINE-BIPOLAR-LEAD,Fine bipolar + lead,CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,1,no
FINE-BIPOLAR-DIATHERMY-LEAD,Fine bipolar diathermy + lead,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
